Х\По,speed,pitch,intonation,happiness,hatred,sadness
0,1.75,0.80,1.50,0.10,0.00,0.00
1,1.75,0.85,1.50,0.30,0.10,0.00
2,1.75,0.80,1.50,0.10,0.00,0.10
3,1.75,0.75,0.75,0.00,0.10,0.10
4,1.90,1.00,1.50,0.00,0.25,0.00
5,1.50,1.00,1.50,0.10,0.10,0.00
6,1.60,0.75,1.00,0.00,0.10,0.00
7,1.75,1.20,1.50,0.20,0.10,0.00
8,1.75,0.90,1.50,0.20,0.10,0.00
9,1.75,1.10,1.50,0.40,0.10,0.00
